pdf_id,original_sha256,file_bytes,page_count,mean_file_bytes_per_page,classification,active_encoded_stream_bytes,structural_or_unaccounted_bytes,stream_accounting_valid,repaired,encrypted,status,image_stream_bytes,fonts_stream_bytes,content_streams_stream_bytes,metadata_stream_bytes,embedded_files_stream_bytes,other_pdf_objects_stream_bytes
objects\30\30093fb70627df6a22327bb58a959502634d4efc110cd931291dd135b6eef389.pdf,30093fb70627df6a22327bb58a959502634d4efc110cd931291dd135b6eef389,15635422,260,60136.23846153846,raster+OCR,15390807,244615,True,False,False,ok,13412843,0,1742788,2061,0,233115
objects\4b\4bc09d60cb1c0178de624624701976f21230675159d2a8f1cae473bac4011527.pdf,4bc09d60cb1c0178de624624701976f21230675159d2a8f1cae473bac4011527,814673,9,90519.22222222222,raster+OCR,799825,14848,True,False,False,ok,677464,0,84409,1844,0,36108
objects\4f\4f94003acf7097873b4beda1ea86fdb93d9f9d92aa0f6a24a660975cba5ec6e4.pdf,4f94003acf7097873b4beda1ea86fdb93d9f9d92aa0f6a24a660975cba5ec6e4,749486,11,68135.09090909091,raster+OCR,734911,14575,True,False,False,ok,645572,0,72149,1346,0,15844
objects\55\551105924a6584804bb98f1d407196b5338424576338e7d890687955813bbaed.pdf,551105924a6584804bb98f1d407196b5338424576338e7d890687955813bbaed,3502992,58,60396.41379310345,raster+OCR,3421157,81835,True,False,False,ok,2878621,0,489590,4023,0,48923
objects\68\689f9ed97f43900c64be3c44f8eef9f91091e3a6a48691943ceb6788a99931d2.pdf,689f9ed97f43900c64be3c44f8eef9f91091e3a6a48691943ceb6788a99931d2,1971666,26,75833.30769230769,raster+OCR,1933578,38088,True,False,False,ok,1598428,0,274496,1171,0,59483
objects\76\7670d6b79aa3fe57919f93b41110bda648fe84bcd7aa69295fd9229e0b18bab3.pdf,7670d6b79aa3fe57919f93b41110bda648fe84bcd7aa69295fd9229e0b18bab3,1411329,22,64151.318181818184,raster+OCR,1382444,28885,True,False,False,ok,1170409,0,194567,2287,0,15181
objects\7f\7f9a5daedadf5eac0423beeeaadbed86159e27b9deffd3c577fae46a9ef1dc1c.pdf,7f9a5daedadf5eac0423beeeaadbed86159e27b9deffd3c577fae46a9ef1dc1c,3664988,62,59112.709677419356,raster+OCR,3573234,91754,True,False,False,ok,2908637,0,557759,1844,0,104994
objects\a6\a6df2c88c4d3f407b5a186c1f0918b6f50926a9d2f28cb5bedbfcb518fe4493d.pdf,a6df2c88c4d3f407b5a186c1f0918b6f50926a9d2f28cb5bedbfcb518fe4493d,3225700,47,68631.91489361702,raster+OCR,3183895,41805,True,False,False,ok,2720154,0,420152,1692,0,41897
objects\da\dab7d3f02b6b4755c4f64eb3859ea6d717559465fc7947b0f10d0cb79a884483.pdf,dab7d3f02b6b4755c4f64eb3859ea6d717559465fc7947b0f10d0cb79a884483,13974767,207,67510.95169082125,raster+OCR,13783796,190971,True,False,False,ok,11437912,0,2079358,1346,0,265180
objects\e1\e11a6742d672db81a7be6d2f97014d9af2aaa12e1d1ddfea615eb0218484a83f.pdf,e11a6742d672db81a7be6d2f97014d9af2aaa12e1d1ddfea615eb0218484a83f,1733281,26,66664.65384615384,raster+OCR,1708137,25144,True,False,False,ok,1445399,0,234071,673,0,27994
